ID,Titre,Description,Tags,URL
1,Replay des voeux de la direction Générale GSO,Olivier Cotinat et Christophe Galichon ont adressé leurs vœux pour l'année 2026 mardi 13 janvier dans le hall du siège du Groupe. Découvrez le replay capté par TV7 pour ceux qui l'auraient manqué.,gso,https://go.sudouest-publicite.com/e/433602/677-video-des-voeux-de-DG-2026/b629dh/1847557823/h/RS2f2oHglBtHom6j2YPrWgCXtnwDQ_4BuKMdPGtJ9zA
2,Nouvelle offre sponsoring Carré Météo,"Lancement de la commercialisation des Offres de Sponsoring du Carré Météo 2026 sur Sud Ouest et Sud Ouest Dimanche. Dispositif Neige, qualité de l'air et pollen, météo des forêts.","offres, marketing",https://go.sudouest-publicite.com/e/433602/q1MgdCc5jLYK0-edit-usp-sharing/b61fb6/1839428072/h/fquIOr_ve7qyebE65RpZl_0iu4VzIvuNsEBhJjl4T3Q
3,Musée des Beaux Arts d'Agen,"Campagne d’influence pour l’exposition “Lumières françaises, de la cour de Versailles à Agen” au musée des Beaux Arts d’Agen. Objectifs : Promouvoir l’exposition comme un événement culturel majeur à Agen et au-delà, Attirer une audience diversifiée (familles, scolaires, touristes, chercheurs, etc.), Renforcer l’attractivité du territoire agenais et le positionner comme une destination culturelle, Valoriser le patrimoine historique, artistique et architectural du XVIIIe siècle.",success story,https://go.sudouest-publicite.com/e/433602/p-DSPJmAgjc1F-/b629dl/1847557823/h/RS2f2oHglBtHom6j2YPrWgCXtnwDQ_4BuKMdPGtJ9zA
4,Lancement de la marque SÜVY,L'équipe 47 épaulée par DIGIVISION a accompagné ce client dans la création de teasers pour l'évènement SUVYLAND. Un lancement de marque réussi à Paris auquel l'équipe a participé !,success story,https://go.sudouest-publicite.com/e/433602/t5VLQ8k54e2N9-view-usp-sharing/b629dp/1847557823/h/RS2f2oHglBtHom6j2YPrWgCXtnwDQ_4BuKMdPGtJ9zA
5,Geofencing pour IMAGIR,L'offre Geofancing a été vendue au groupe IMAGIR pour 19k€ Le concept : donner accès gratuitement à tous les contenus Sud Ouest dans les salles des centres d'imagerie du département L'argument de vente qui a fait mouche : soutenir un acteur local avec un engagement hors publicité commerciale.,success story,https://go.sudouest-publicite.com/e/433602/t5VLQ8k54e2N9-view-usp-sharing/b629dp/1847557823/h/RS2f2oHglBtHom6j2YPrWgCXtnwDQ_4BuKMdPGtJ9zA
6,"Depuis le 17 décembre, Briefly est officiellement déployé !","Avec déjà plus de 100 briefs saisis, nous sommes ravis de voir que l’outil a été rapidement adopté. Les premiers retours sont très instructifs : près d’1 brief sur 2 est utilisé pour préparer vos rendez-vous clients. Résultat ? Des échanges plus efficaces, des questions mieux ciblées et déjà des premières pistes de leviers pertinents identifiées en amont. L’équipe Solution Média poursuit ses échanges avec vous afin d’améliorer la prise en main de l’outil. N’hésitez pas à les contacter pour toute question. En attendant, vous pouvez également consulter le replay de la formation pour tout savoir sur Briefly.",outils,https://go.sudouest-publicite.com/e/433602/cDeOuiocxkRv--view-usp-sharing/b629dw/1847557823/h/RS2f2oHglBtHom6j2YPrWgCXtnwDQ_4BuKMdPGtJ9zA
7,Digivision x Bordeaux Métropole,Un spot de 14 secondes destiné aux réseaux sociaux de Bordeaux Métropole qui met en scène 3 joueurs de l'UBB. Objectif : sensibiliser au tri des déchets Le message est simple et percutant : rappeler que chaque geste compte pour faire avancer le recyclage.,"success story, digivision",https://go.sudouest-publicite.com/e/433602/watch-v--h1k-J7GhzQ/b61f9w/1839428072/h/fquIOr_ve7qyebE65RpZl_0iu4VzIvuNsEBhJjl4T3Q
8,Cellule Créa x Agence Eliette,"En 2023, une équipe projet Eliette x Cellule créa a créé le concept des petits monstres pour répondre au besoin de communication de la Communauté de Communes du Grand Villeneuvois (47) sur la  redevance incitative. Déclinée dans un premier temps sur des documents ""papier"", livret pédagogique, annonces presse, etc, la campagne a fait l'objet de la création de 3 motions design dans ce dernier trimestre 2025. Toujours avec la même équipe de départ et avec l'arrivée de 2 nouvelles compétences en Motion Design qui ont intégré le studio en 2025.","success story, cellule créa, agence eliette",https://go.sudouest-publicite.com/e/433602/4I4Qr5hKhDJmIsw-usp-drive-link/b61f9z/1839428072/h/fquIOr_ve7qyebE65RpZl_0iu4VzIvuNsEBhJjl4T3Q
9,Le collectif Girondin,"L'année a été une réussite totale, les défis ont été relevés brillamment et globale avec 100% des équipes à l'objectif.
Si nous devions décrire l'équipe, cet acrostiche est en quelque sorte notre ADN du moment : 
- Généreux efforts pour un but commun,
- Inspiration mutuelle
- Rires partagés
- Optimisme
- Nouvelle énergie dans l'élan collectif,
- Désir d'atteindre l'objectif,
- Entraide sincère, clé de notre réussite",actualités,
10,L'année des Grands Comptes rythmée par le rugby,"Une année rythmée par de belles réussites individuelles. 

La belle réussite collective et sportive c'est l'UBB avec son titre de Champion d'Europe et sa finale de Top 14. 

Réussite collective également pour le bilan de l'équipe Grands Compte et Hors Zone sur les suppléments liées à ces matchs, sur Raffut et sur nos events rugby (beach, Etoiles du rgby amateur et Etoiles du rugby Féminin) avec au global plus de 300 K€ réalisés par Céline, Camille M, Diane, Krislaine, Stéfany, Arnaud, Laurent et Camille E. 

Bravo à tous !",actualités,
11,La Charente organise le 1er Salon des Séniors,"L'événement qui a eu lieu en novembre a réunit 5 univers autour de la retraite : Préparer/financer sa retraite, prévenir/soigner ma Santé, améliorer /aménager mon cadre de vie, hébergement adapté pour ma retraite.

3000 personnes sur 2 jours 
53 exposants 
12 débats animés et filmés par les journalistes de Charente Libre
Une dizaine d'associations qui ont proposé des animations.

8 mois de travail pour un CA réalisé par toute l'équipe SOP Charente + Elodie Musseau, Fred et Mickael, = 111 k€

L''enquête de satisfaction auprès du public est excellente et celle auprès des exposants aussi  ! En Route vers la 2ème édition qui sera les 20 et 21 novembre 2026 en espérant faire aussi bien voir mieux que la 1ère édition !",actualités,
12,L'équipe de Dordogne désormais complète avec l'arrivée d'Estelle,"Estelle Lassale est venue compléter l'équipe de Dordogne cet été, et est en charge du Bergeracois.",actualités,
13,"Les férias, incontournables de l'équipe Landes / Pays basque","SO BAIONA, SO MADELEINE, SO DAX
3 évènements réussis qui génèrent du business du réseau et de l’engagement !

Plus de 900 invités présents
Plus de 180 photos des invités sur so.fr
30K€ de CA direct

Des partenaires enthousiastes

90K€ de CA indirect : Foulée des Entreprises, suppléments Féria Landaises",actualités,
14,L'équipe Lot-et-garonnaise clôture l'année en beauté,"Super soirée afterwork pour clôturer l’année avec une vingtaine de clients pour une visite privée de l’expo événement ""Lumières françaises, de la cour de Versailles à Agen"". Un moment de culture privilégié suivi d’un apéro gascon !",actualités,
15,Tableau de suivi de l'offre Tourisme 2026,"Dans le cadre de la refonte de notre offre Tourisme, un tableau de suivi partagé a été mis en place afin de faciliter la coordination entre les différentes équipes impliquées sur le sujet.
Pensez à vous l'enregistrer !",marketing,https://go.sudouest-publicite.com/e/433602/-gid-1035490498-gid-1035490498/b61fb3/1839428072/h/fquIOr_ve7qyebE65RpZl_0iu4VzIvuNsEBhJjl4T3Q
